community_clusters,hashtags_of_community_clusters,score_of_community_clusters,k_mean_clusters,hashtags_of_k_mean_clusters,score_of_k_mean_clusters,levenshtein_clusters,hashtags_of_levenshtein_clusters,score_of_levenshtein_clusters,best_clusters,hashtags_of_best_clusters,score_of_best_clusters
community cluster 2452,"['fairfashion', 'vegan', 'entspannen', 'winterwonderland', 'kino', 'wein', 'drinks', 'plantbased']",46.0,,,,,,,,,
community cluster 2453,"['throwback', 'fair', 'holiday', 'nachhaltig', 'ostern', 'selfie', 'drinks', 'summer']",51.0,,,,,,,,,
community cluster 2454,"['plantbased', 'summer', 'vegan', 'relax', 'nachhaltig', 'kino', 'organic', 'newchallenge']",47.0,,,,,,,,,
community cluster 2455,"['fairfashion', 'holiday', 'entspannen', 'happiness', 'neuewege', 'ostern', 'holidaymood', 'fotoshooting']",39.0,,,,,,,,,
community cluster 2456,"['wein', 'holiday', 'sonntag', 'relax', 'selfie', 'crueltyfree', 'summer']",36.0,,,,,,,,,
community cluster 2457,"['plantbased', 'fair', 'vegan', 'österreich', 'steiermark', 'verrücktnachmarry', 'crueltyfree', 'organic']",64.0,,,,,,,,,
community cluster 2458,"['fairfashion', 'adventure', 'naturelover', 'throwback', 'mountains', 'summervibes', 'mountainlove', 'winterwonderland']",55.0,,,,,,,,,
community cluster 2459,"['holiday', 'entspannen', 'nachhaltig', 'neuewege', 'summer', 'fotoshooting']",33.75,,,,,,,,,
community cluster 2460,"['salzburg', 'ringanapeople', 'qualitytime', 'naturelover', 'boston', 'aupairlife', 'beautifulview', 'beautifulaustria']",21.0,,,,,,,,,
community cluster 2461,"['friendshipgoals', 'qualitytime', 'travelbuddy', 'newopportunities', 'awareness', 'internationalfriendship', 'tbf', 'visitaustria']",28.0,,,,,,,,,
community cluster 2462,"['blackouttuesday', 'breathtakingview', 'qualitytime', 'bealive', 'nature', 'allthatcountsarethelittlemoments', 'ocean', 'newmemoriestocome']",33.0,,,,,,,,,
community cluster 2463,"['qualitytime', 'bmw', 'austin', 'bmwgrancoupe', 'bmw4', 'bmwgang', 'newfamilymember', 'lovemynewbabe']",18.0,,,,,,,,,
community cluster 2464,"['qualitytime', 'verdient', 'youremine', 'believeandyouwillachieve', 'trust', 'achieverofunrealisticshit', 'hatersgonnahate', 'finally']",17.0,,,,,,,,,
community cluster 2465,"['cargirl', 'qualitytime', 'dreamcometrue', 'carlover', 'luxurygoals', 'luxury', 'vibe', 'mindset']",23.0,,,,,,,,,
community cluster 2466,"['traveltime', 'finallyvacation', 'qualitytime', 'birthdaytrip', 'roadtrip', 'sisterstrip', 'austin420i', 'croatiatime']",19.0,,,,,,,,,
community cluster 2467,"['universe', 'qualitytime', 'catlovers', 'sistertattoo', 'tattoo', 'cats', 'repost', 'roots']",21.0,,,,,,,,,
community cluster 2468,"['lovefood', 'qualitytime', 'childoftheuniverse', 'family', 'birthday', 'geniessereiammarkt', 'ilovemylife', 'amazingfood']",27.0,,,,,,,,,
community cluster 2469,"['qualitytime', 'livingthegoodlife', 'colorfullife', 'goodvibes', 'timeforadress', 'sofresh', 'fancy', 'sofree']",26.0,,,,,,,,,
community cluster 2470,"['qualitytime', 'glamgirls', 'newyorkcity', 'breathtakingviews', 'oneworldtradecenterobservatory', 'empirestatebuilding', 'timesquare', 'centralpark']",16.0,,,,,,,,,
community cluster 2471,"['enjoyingnaturesbeauty', 'qualitytime', 'guggenheimmuseum', 'botanicalgarden', 'inlove', 'steiermark', 'dobiniherdogherihin', 'lovenature']",33.0,,,,,,,,,
community cluster 2472,"['favoritesongrightnow', 'qualitytime', 'missaustriasomuch', 'home', 'tryingnewways', 'beberhexa', 'inspirationalpost', 'bright']",20.0,,,,,,,,,
community cluster 2473,"['qualitytime', 'tb', 'feeleverymoment', 'exciting', 'selfdevelopment', 'vorderergosausee', 'highvibe', 'changeyourvibe']",23.0,,,,,,,,,
community cluster 2474,"['qualitytime', 'travelgram', 'nevergiveup', 'washingtondc', 'takebreaks', 'dreamcametrue', 'livingmydream', 'america']",21.0,,,,,,,,,
community cluster 2475,"['newfriends', 'qualitytime', 'mountaintop', 'großersonnstein', 'exploreboston', 'naturelove', 'youcandoit', 'funtimestogether']",17.0,,,,,,,,,
community cluster 2476,"['qualitytime', 'besties', 'skyismyfavoritecolor', 'happiness', 'morningslikethese', 'lastcallpitches', 'newmemories', 'morningslikethis']",23.0,,,,,,,,,
community cluster 2477,"['perfectshot', 'qualitytime', 'beautifullake', 'mountains', 'justletmefly', 'sun', 'perfectmoment', 'readyfortakeoff']",32.0,,,,,,,,,
community cluster 2478,"['memyselfandI', 'qualitytime', 'Österreich', 'extraordinaryview', 'wandern', 'outdoorphotography', 'bergwelten', 'mountainlove']",26.0,,,,,,,,,
community cluster 2479,"['view', 'qualitytime', 'autvibes', 'wynwoodartdistrict', 'wynwoodwalls', 'goodbyeusa', 'seeyasoon', 'miami']",19.0,,,,,,,,,
community cluster 2480,"['salzburg', 'friendshipgoals', 'sightseeing', 'styria', '2021', 'wandern', 'graz', 'visitaustria']",52.0,,,,,,,,,
community cluster 2481,"['goodvibes', 'family', 'colorfullife', 'catlovers', 'love', 'exciting', 'cats', 'naturelove']",49.0,,,,,,,,,
community cluster 2482,"['adventure', 'sightseeing', 'mountains', 'happiness', 'love', 'wandern', 'wanderlust', 'mountainlove']",64.0,,,,,,,,,
community cluster 2483,"['naturelover', 'sunrise', 'travel', 'hiking', 'sightseeing', 'tattoo', 'cats', 'ocean']",45.0,,,,,,,,,
community cluster 2484,"['goodvibes', 'family', 'colorfullife', 'catlovers', 'sightseeing', 'sunshine', 'birthday', 'steiermark']",54.0,,,,,,,,,
community cluster 2485,"['adventure', 'travelgram', 'sightseeing', 'tb', 'summervibes', 'sun', 'naturelove', 'mountainlove']",59.0,,,,,,,,,
community cluster 2486,"['view', 'explore', 'naturelover', 'sightseeing', 'wanderlust', 'landscape', 'austria']",32.625,,,,,,,,,
community cluster 2487,"['naturelover', 'travelgram', 'hiking', 'styria', '2021', 'graz', 'naturelove', 'mountainlove']",42.0,,,,,,,,,
community cluster 2488,"['naturelover', 'travel', 'styria', '2021', 'nature', 'steiermark', 'graz', 'visitaustria']",78.0,,,,,,,,,
community cluster 2489,"['naturelover', 'travelgram', 'mountains', 'summervibes', 'naturelove', 'austria', 'visitaustria']",50.625,,,,,,,,,
community cluster 2490,"['adventure', 'travel', 'tb', 'styria', 'wandern', 'landscape', 'mountainlove', 'visitaustria']",66.0,,,,,,,,,
community cluster 2491,"['friendshipgoals', 'travelgram', 'styria', 'tattoo', 'cats', 'repost', 'naturelove', 'landscape']",41.0,,,,,,,,,
community cluster 2492,"['friendshipgoals', 'goodvibes', 'sunshine', 'flowers', 'catlovers', 'travel', 'wandern', 'sun']",67.0,,,,,,,,,
community cluster 2493,"['travelgram', 'newyear', '2021', 'happiness', 'mountains', 'repost', 'naturelove']",42.75,,,,,,,,,
community cluster 2494,"['adventure', 'view', 'explore', '2021', 'ocean', 'landscape', 'mountainlove']",33.75,,,,,,,,,
community cluster 2495,"['sunrise', 'goodvibes', 'colorfullife', 'travel', 'flowers', 'tb', 'nature', 'ocean']",68.0,,,,,,,,,
community cluster 2496,"['throwback', 'travelgram', 'mountains', 'happiness', 'summervibes', 'ocean', 'sun', 'vacation']",76.0,,,,,,,,,
community cluster 2497,"['adventure', 'sunrise', 'Österreich', 'explore', 'wandern', 'wanderlust', 'ocean']",41.625,,,,,,,,,
community cluster 2498,"['sunrise', 'colorfullife', 'catlovers', 'birthday', 'nature', 'cats', 'tattoo', 'naturelove']",36.0,,,,,,,,,
community cluster 2499,"['adventure', 'explore', 'colorfullife', 'travel', 'nature', 'graz', 'landscape', 'mountainlove']",49.0,,,,,,,,,
community cluster 2500,"['sunrise', 'goodvibes', 'colorfullife', 'family', 'travel', 'naturelove']",55.0,,,,,,,,,
community cluster 2501,"['sunrise', 'travelgram', 'home', 'tb', 'mountains', 'happiness', 'steiermark', 'sun']",69.0,,,,,,,,,
community cluster 2502,"['view', 'sunrise', 'family', 'colorfullife', 'wanderlust', 'landscape']",42.5,,,,,,,,,
community cluster 2503,"['family', 'happiness', 'summervibes', 'tattoo', 'graz', 'repost', 'fashion', 'austria']",55.0,,,,,,,,,
community cluster 2504,"['goodvibes', 'sunshine', 'catlovers', 'flowers', 'birthday', 'cats', 'tattoo', 'sun']",46.0,,,,,,,,,
community cluster 2505,"['family', 'catlovers', 'wandern', 'summervibes', 'cats', 'tattoo']",53.75,,,,,,,,,
community cluster 2506,"['goodvibes', 'family', 'catlovers', 'flowers', 'sunshine', 'birthday', 'cats', 'sun']",54.0,,,,,,,,,
community cluster 2507,"['goodvibes', 'family', 'flowers', 'catlovers', 'sunshine', 'birthday', 'sun']",58.5,,,,,,,,,
community cluster 2508,"['family', 'nevergiveup', 'exciting', 'graz', 'tbt', 'sun', 'naturelove']",38.25,,,,,,,,,
community cluster 2509,"['explore', 'sunshine', 'family', 'birthday', 'steiermark', 'tbt', 'sun', 'fashion']",70.0,,,,,,,,,
community cluster 2510,"['goodvibes', 'colorfullife', 'flowers', 'tb', 'travelgram', 'wandern', 'birthday']",51.75,,,,,,,,,
community cluster 2511,"['throwback', 'colorfullife', 'happiness', 'summervibes', 'sun', 'tbt', 'vacation', 'fashion']",80.0,,,,,,,,,
community cluster 2512,"['explore', 'nevergiveup', 'mountains', 'summervibes', 'tbt', 'naturelove', 'fashion', 'austria']",53.0,,,,,,,,,
community cluster 2513,"['adventure', 'explore', 'sunshine', 'goodvibes', 'travelgram', 'wandern', 'exciting', 'steiermark']",57.0,,,,,,,,,
community cluster 2514,"['view', 'goodvibes', 'flowers', 'wanderlust', 'steiermark', 'landscape']",65.0,,,,,,,,,
community cluster 2515,"['adventure', 'explore', 'sunshine', 'travelgram', 'flowers', 'wandern', 'steiermark', 'naturelove']",61.0,,,,,,,,,
community cluster 2516,"['home', 'tb', 'mountains', 'happiness', 'exciting', 'steiermark', 'sun', 'mountainlove']",62.0,,,,,,,,,
community cluster 2517,"['throwback', 'home', 'tb', 'wanderlust', 'sun', 'naturelove', 'austria', 'mountainlove']",47.0,,,,,,,,,
community cluster 2518,"['adventure', 'throwback', 'travelgram', 'tb', 'naturelove', 'landscape']",45.0,,,,,,,,,
community cluster 2519,"['adventure', 'view', 'explore', 'wandern', 'summervibes', 'exciting', 'landscape', 'mountainlove']",51.0,,,,,,,,,
community cluster 2520,"['throwback', 'travelgram', 'mountains', 'vacation', 'naturelove', 'mountainlove']",48.75,,,,,,,,,
community cluster 2521,"['view', 'explore', 'throwback', 'happiness', 'sun', 'landscape']",55.0,,,,,,,,,
community cluster 2522,"['adventure', 'mountains', 'happiness', 'sun', 'vacation', 'landscape', 'mountainlove']",57.375,,,,,,,,,
community cluster 2523,"['Österreich', 'wien', 'mountains', 'wandern', 'schweinsbraten', 'sun', 'food']",57.375,,,,,,,,,
community cluster 2524,"['freedomaustria', 'freedom', 'lifeislife', 'hiking', 'mountains', 'madeinaustria', 'paradise', 'mountainlove']",31.0,,,,,,,,,
community cluster 2525,"['adventure', 'view', 'explore', 'wanderlust', 'tbt', 'vacation', 'landscape']",50.625,,,,,,,,,
community cluster 2526,"['view', 'goodtime', 'tb', 'wanderlust', 'earlybird', 'landscape', 'austria']",31.5,,,,,,,,,
community cluster 2527,"['steiermark', 'vollfein', 'startuplife', 'startup', 'graz', 'igersgraz', 'drinks', 'weekend']",82.0,,,,,,,,,
community cluster 2528,"['happy', 'photography', 'vollfein', 'startup', 'running', 'verrücktnachmarry']",67.5,,,,,,,,,
community cluster 2529,"['breakfast', 'weekend', 'homemade', 'love', 'verrücktnachmarry', 'igersgraz', 'durstlöscher', 'erfrischung']",82.0,,,,,,,,,
community cluster 2530,"['weekend', 'home', 'relax', 'österreich', 'regionalität', 'startup', 'durstlöscher', 'erfrischung']",61.0,,,,,,,,,
community cluster 2531,"['family', 'photography', 'zellamsee', 'startuplife', 'startup', 'trinken', 'durstlöscher']",60.75,,,,,,,,,
community cluster 2532,"['weekend', 'österreich', 'regionalität', 'startuplife', 'business', 'running', 'erfrischung']",47.25,,,,,,,,,
community cluster 2533,"['breakfast', 'vegan', 'steiermark', 'friday', 'startuplife', 'igersgraz', 'plastikfrei', 'motivation']",83.0,,,,,,,,,
community cluster 2534,"['weekend', 'plastikfrei', 'foodlover', 'österreich', 'regionalität', 'running', 'eistee', 'erfrischung']",52.0,,,,,,,,,
community cluster 2535,"['breakfast', 'family', 'vegan', 'österreich', 'foodlover', 'marryicetea', 'graz', 'plastikfrei']",63.0,,,,,,,,,
community cluster 2536,"['friends', 'vegan', 'österreich', 'proud', 'selfie', 'zellamsee', 'durstlöscher', 'drinks']",60.0,,,,,,,,,
community cluster 2537,"['family', 'relax', 'happy', 'österreich', 'proud', 'marryicetea', 'steiermark', 'running']",69.0,,,,,,,,,
community cluster 2538,"['breakfast', 'nachhaltig', 'steiermark', 'eistee', 'trinken', 'durstlöscher', 'drinks', 'erfrischung']",63.0,,,,,,,,,
community cluster 2539,"['family', 'happy', 'steiermark', 'friday', 'running', 'durstlöscher', 'drinks', 'erfrischung']",67.0,,,,,,,,,
community cluster 2540,"['wedding', 'foodlover', 'proud', 'graz', 'igersgraz', 'trinken', 'durstlöscher', 'drinks']",57.0,,,,,,,,,
community cluster 2541,"['breakfast', 'foodlover', 'love', 'graz', 'igersgraz', 'durstlöscher', 'drinks', 'erfrischung']",80.0,,,,,,,,,
community cluster 2542,"['family', 'happy', 'nachhaltig', 'genuss', 'marryicetea', 'photography', 'durstlöscher', 'erfrischung']",67.0,,,,,,,,,
community cluster 2543,"['wedding', 'proud', 'love', 'igersgraz', 'eistee', 'durstlöscher', 'drinks', 'urban']",73.0,,,,,,,,,
community cluster 2544,"['urban', 'happy', 'friday', 'igersgraz', 'eistee', 'zellamsee', 'weekend']",70.875,,,,,,,,,
community cluster 2545,"['friends', 'digital', 'foodlover', 'graz', 'running', 'igersgraz', 'eistee', 'weekend']",68.0,,,,,,,,,
community cluster 2546,"['friends', 'homemade', 'wedding', 'proud', 'love', 'nachhaltig', 'igersgraz', 'eistee']",79.0,,,,,,,,,
community cluster 2547,"['breakfast', 'friends', 'nachhaltig', 'love', 'selfie', 'enjoylife', 'zellamsee', 'earlybird']",61.0,,,,,,,,,
community cluster 2548,"['sunrise', 'goodtime', 'relax', 'love', 'enjoylife', 'earlybird']",52.5,,,,,,,,,
community cluster 2549,"['goodtime', 'wedding', 'family', 'relax', 'tb', 'love', 'enjoylife']",63.0,,,,,,,,,
community cluster 2550,"['breakfast', 'friends', 'homemade', 'family', 'relax', 'selfie', 'weekend']",66.375,,,,,,,,,
community cluster 2551,"['summertime', 'gastgarten', 'wedding', 'falstaffmagazine', 'foodlover', 'hundeliebe', 'coffeetime', 'gastronomie']",38.0,,,,,,,,,
community cluster 2552,"['muttertag', 'erfrischend', 'love', 'friday', 'holidays', 'durstlöscher', 'urbandrinks']",58.5,,,,,,,,,
community cluster 2553,"['digital', 'relax', 'tb', 'happy', 'wanderlust', 'enjoylife', 'photography']",63.0,,,,,,,,,
community cluster 2554,"['2min2mio', 'stayhealthy', 'proud', 'paradise', 'photography', 'relaxing', 'running', 'swimming']",47.0,,,,,,,,,
community cluster 2555,"['breakfast', 'instagram', 'frühstück', 'flowers', 'tasty', 'healthyfood', 'spring']",60.75,,,,,,,,,
community cluster 2556,"['breakfast', 'instagram', 'visitgraz', 'flowers', 'vegan', 'healthyfood', 'veganbreakfast', 'whatveganseat']",59.0,,,,,,,,,
community cluster 2557,"['womensday', 'womeninmusicbusiness', 'femaleproducer', 'contemporaryart', 'afghanistan', 'mixingandmastering', 'motivation', 'popart']",18.0,,,,,,,,,
community cluster 2558,"['banana', 'tasty', 'graz', 'lifelonglearning', 'igersgraz', 'fruits', 'yummy']",58.5,,,,,,,,,
community cluster 2559,"['winter', 'tasty', 'startuplife', 'lifelonglearning', 'fruits', 'veganbreakfast', 'yummy']",43.875,,,,,,,,,
community cluster 2560,"['breakfast', 'banana', 'vegan', 'tasty', 'graz', 'veganbreakfast', 'whatveganseat', 'veganfood']",50.0,,,,,,,,,
community cluster 2561,"['breakfast', 'frühstück', 'tasty', 'fruits', 'whatveganseat', 'veganfood']",47.5,,,,,,,,,
community cluster 2562,"['tasty', 'food', 'schlossberg', 'healthyfood', 'veganfood', 'whatveganseat', 'yummy']",63.0,,,,,,,,,
community cluster 2563,"['gastgarten', 'cafefotter', 'fotterbreakfastclub', 'cafefottergraz', 'breakfastclub', 'graz', 'fruits', 'kaffee']",23.0,,,,,,,,,
community cluster 2564,"['instagram', 'visitgraz', 'frühstück', 'genuss', 'party', 'steirisch', 'danke', 'esseningraz']",38.0,,,,,,,,,
community cluster 2565,"['startuplife', 'winter']",17.5,,,,,,,,,
community cluster 2566,"['kaffee', 'gastgarten', 'genuss', 'summervibes', 'reopening', 'steiermark', 'schokolade', 'regional']",65.0,,,,,,,,,
community cluster 2567,"['breakfast', 'prost', 'shopping', 'genuss', 'startup', 'lavabräu', 'schokolade', 'feiern']",46.0,,,,,,,,,
community cluster 2568,"['cooking', 'konditorei', 'regional', 'summervibes', 'steiermark', 'frühling', 'schokolade', 'kaffee']",68.0,,,,,,,,,
community cluster 2569,"['party', 'danke', 'graz', 'frühling', 'schokolade', 'kaffee']",32.5,,,,,,,,,
community cluster 2570,"['gastgarten', 'shopping', 'regional', 'reopening', 'steiermark', 'feiern', 'frühling', 'kaffee']",51.0,,,,,,,,,
community cluster 2571,"['prost', 'steirisch', 'steiermark', 'lavabräu', 'esseningraz', 'regional', 'erfrischung']",43.875,,,,,,,,,
community cluster 2572,"['shopping', 'steiermark', 'supportsmallbusiness', 'feiern', 'steirisch', 'graz', 'oberösterreich', 'kaffee']",40.0,,,,,,,,,
community cluster 2573,"['linz', 'frühstückeningraz', 'graz', 'fottern', 'breakfastingraz', 'shoplocal', 'feiern', 'bestbreakfast']",17.0,,,,,,,,,
community cluster 2574,"['gastgarten', 'frühstück', 'breakfasttime', 'steirisch', 'graz', 'brunch', 'lavabräu', 'esseningraz']",23.0,,,,,,,,,
community cluster 2575,"['gastgarten', 'cafefotter', 'reopening', 'cafefottergraz', 'breakfastclub', 'coffeelover', 'frühling', 'kaffee']",34.0,,,,,,,,,
community cluster 2576,"['gastgarten', 'fotterbreakfastclub', 'frühstückeningraz', 'frühstückingraz', 'fottern', 'breakfastingraz', 'austria', 'bestbreakfast']",16.0,,,,,,,,,
community cluster 2577,"['breakfast', 'gastgarten', 'nachhaltig', 'supportsmallbusiness', 'supportyourlocal', 'kaffee', 'feiern']",47.25,,,,,,,,,
community cluster 2578,"['cafefotter', 'fotterbreakfastclub', 'reopening', 'cafefottergraz', 'breakfastclub', 'coffeelover', 'frühling', 'kaffee']",33.0,,,,,,,,,
community cluster 2579,"['summervibes', 'frühstückeningraz', 'frühstückingraz', 'fottern', 'breakfastingraz', 'cooking', 'kaffee', 'bestbreakfast']",41.0,,,,,,,,,
community cluster 2580,"['breakfast', 'frühstück', 'shopping', 'breakfasttime', 'brunch', 'kaffee', 'austria', 'feiern']",35.0,,,,,,,,,
community cluster 2581,"['reopening', 'steirisch', 'breakfastclub', 'supportyourlocal', 'frühling', 'esseningraz', 'kaffee']",37.125,,,,,,,,,
community cluster 2582,"['cafefotter', 'fotterbreakfastclub', 'cafefottergraz', 'frühstückeningraz', 'coffeelover', 'frühstückingraz', 'frühling', 'fottern']",28.0,,,,,,,,,
community cluster 2583,"['erfrischung', 'supportsmallbusiness', 'startup', 'coffeelover', 'breakfastingraz', 'austria', 'bestbreakfast', 'interview']",39.0,,,,,,,,,
community cluster 2584,"['cafefotter', 'reopening', 'cafefottergraz', 'brunch', 'breakfastclub', 'coffeelover', 'supportyourlocal', 'visitaustria']",40.0,,,,,,,,,
community cluster 2585,"['cafefotter', 'fotterbreakfastclub', 'cafefottergraz', 'reopening', 'breakfastclub', 'frühstückingraz', 'frühling', 'fottern']",27.0,,,,,,,,,
community cluster 2586,"['shopping', 'summervibes', 'frühstückeningraz', 'supportsmallbusiness', 'startup', 'frühling', 'breakfastingraz', 'bestbreakfast']",56.0,,,,,,,,,
community cluster 2587,"['breakfast', 'prost', 'gewinnspiel', 'marryicetea', 'lavabräu', 'frühling', 'feiern', 'erfrischung']",46.0,,,,,,,,,
community cluster 2588,"['cafefotter', 'frühstück', 'reopening', 'cafefottergraz', 'breakfasttime', 'frühling']",32.5,,,,,,,,,
community cluster 2589,"['cheersrost', 'quoteoftheday', 'visitgraz', 'styria', 'summervibes', 'oberösterreich', 'austria', 'quotes']",55.0,,,,,,,,,
community cluster 2590,"['prost', 'gewinnspiel', 'visitgraz', 'summervibes', 'lavabräu', 'feiern', 'giveaway', 'cityofgraz']",51.0,,,,,,,,,
community cluster 2591,"['cafefotter', 'fotterbreakfastclub', 'reopening', 'cafefottergraz', 'frühstückeningraz', 'breakfastclub', 'frühstückingraz', 'fottern']",22.0,,,,,,,,,
community cluster 2592,"['nachhaltig', 'reopening', 'breakfastclub', 'supportsmallbusiness', 'breakfastingraz', 'austria', 'bestbreakfast']",27.0,,,,,,,,,
community cluster 2593,"['cafefotter', 'fotterbreakfastclub', 'reopening', 'cafefottergraz', 'frühstückeningraz', 'supportsmallbusiness', 'frühstückingraz', 'fottern']",24.0,,,,,,,,,
community cluster 2594,"['breakfast', 'cafefotter', 'frühstück', 'fotterbreakfastclub', 'reopening', 'cafefottergraz', 'supportyourlocal', 'feiern']",39.0,,,,,,,,,
community cluster 2595,"['cafefotter', 'fotterbreakfastclub', 'cafefottergraz', 'frühstückeningraz', 'frühstückingraz', 'fottern', 'breakfastingraz', 'bestbreakfast']",19.0,,,,,,,,,
community cluster 2596,"['cafefotter', 'frühstück', 'fotterbreakfastclub', 'cafefottergraz', 'breakfasttime', 'supportsmallbusiness', 'brunch', 'austria']",26.0,,,,,,,,,
community cluster 2597,"['fotterbreakfastclub', 'cafefottergraz', 'frühstückeningraz', 'frühstückingraz', 'fottern', 'breakfastingraz', 'bestbreakfast']",16.875,,,,,,,,,
community cluster 2598,"['fotterbreakfastclub', 'frühstückeningraz', 'frühstückingraz', 'supportyourlocal', 'fottern', 'breakfastingraz', 'bestbreakfast']",24.75,,,,,,,,,
community cluster 2599,"['breakfast', 'frühstück', 'breakfasttime', 'supportsmallbusiness', 'brunch', 'fottern', 'breakfastingraz', 'bestbreakfast']",33.0,,,,,,,,,
community cluster 2600,"['quoteoftheday', 'frühstückeningraz', 'quotes', 'frühstückingraz', 'supportyourlocal', 'fottern', 'breakfastingraz', 'bestbreakfast']",28.0,,,,,,,,,
community cluster 2601,"['breakfast', 'frühstück', 'frühstückeningraz', 'breakfasttime', 'supportsmallbusiness', 'frühstückingraz', 'breakfastingraz', 'bestbreakfast']",32.0,,,,,,,,,
community cluster 2602,"['nachhaltig', 'frühstückeningraz', 'brunch', 'frühstückingraz', 'breakfastingraz', 'esseningraz', 'austria', 'bestbreakfast']",24.0,,,,,,,,,
community cluster 2603,"['breakfast', 'frühstück', 'frühstückeningraz', 'breakfasttime', 'supportsmallbusiness', 'breakfastingraz', 'bestbreakfast']",32.625,,,,,,,,,
community cluster 2604,"['breakfast', 'frühstück', 'breakfasttime', 'supportsmallbusiness', 'breakfastingraz', 'bestbreakfast']",33.75,,,,,,,,,
community cluster 2605,"['frühstück', 'summervibes', 'danke', 'steirisch', 'party', 'cooking', 'bestbreakfast']",51.75,,,,,,,,,
community cluster 2606,"['cheersrost', 'quoteoftheday', 'linz', 'summervibes', 'cooking', 'shoplocal', 'quotes', 'erfrischung']",48.0,,,,,,,,,
community cluster 2607,"['breakfast', 'prost', 'shopping', 'startup', 'lavabräu', 'oberösterreich', 'cooking', 'feiern']",45.0,,,,,,,,,
community cluster 2608,"['cheersrost', 'quoteoftheday', 'gewinnspiel', 'quotes', 'giveaway', 'cityofgraz']",37.5,,,,,,,,,
community cluster 2609,"['gewinnspiel', 'quoteoftheday', 'marryicetea', 'supportyourlocal', 'lavabräu', 'feiern', 'giveaway', 'cityofgraz']",42.0,,,,,,,,,
community cluster 2610,"['shopping', 'party', 'steirisch', 'danke', 'startup', 'visitaustria', 'oberösterreich', 'interview']",48.0,,,,,,,,,
community cluster 2611,"['gewinnspiel', 'linz', 'shopping', 'oberösterreich', 'shoplocal', 'fashion', 'austria']",40.5,,,,,,,,,
community cluster 2612,"['prost', 'shopping', 'nachhaltig', 'marryicetea', 'lavabräu', 'austria', 'feiern', 'erfrischung']",32.0,,,,,,,,,
community cluster 2613,"['cheersrost', 'prost', 'gewinnspiel', 'erfrischung', 'steirisch', 'esseningraz', 'feiern', 'cityofgraz']",33.0,,,,,,,,,
community cluster 2614,"['styria', 'breakfasttime', 'supportsmallbusiness', 'brunch', 'supportyourlocal', 'oberösterreich']",48.75,,,,,,,,,
community cluster 2615,"['prost', 'steirisch', 'interview', 'lavabräu', 'visitaustria', 'erfrischung']",31.25,,,,,,,,,
community cluster 2616,"['breakfast', 'frühstück', 'shopping', 'brunch', 'danke', 'supportyourlocal', 'shoplocal', 'fashion']",48.0,,,,,,,,,
community cluster 2617,"['prost', 'marryicetea', 'steirisch', 'lavabräu', 'feiern']",22.0,,,,,,,,,
community cluster 2618,"['frühstück', 'breakfasttime', 'danke', 'brunch', 'party', 'supportyourlocal']",41.25,,,,,,,,,
community cluster 2619,"['best', 'family', 'relax', 'startupspritzer', 'relaxing', 'food', 'healthyfood', 'summer']",49.0,,,,,,,,,
community cluster 2620,"['best', 'wien', 'sun', 'startup', 'schlossberg', 'healthyfood', 'summer', 'break']",58.0,,,,,,,,,
community cluster 2621,"['best', 'networking', 'mountainbike', 'schweinsbraten', 'startupspritzer', 'relaxing', 'graz', 'yummy']",32.0,,,,,,,,,
community cluster 2622,"['best', 'wood', 'nature', 'graz', 'relaxing', 'trees', 'summer']",32.625,,,,,,,,,
community cluster 2623,"['wien', 'relax', 'relaxing', 'sun', 'startup', 'fun', 'summer']",70.875,,,,,,,,,
community cluster 2624,"['beautiful', 'wien', 'relaxing', 'outdoor', 'fun', 'yummy', 'energy', 'break']",64.0,,,,,,,,,
community cluster 2625,"['wien', 'family', 'schweinsbraten', 'nature', 'party', 'healthy', 'instafood', 'summer']",59.0,,,,,,,,,
community cluster 2626,"['2min2mio', 'photoshoot', 'student', 'photography', 'relaxing', 'vacation', 'unique', 'stayhealthy']",54.0,,,,,,,,,
community cluster 2627,"['wien', 'family', 'mountainbike', 'outdoor', 'trees', 'fun', 'energy', 'yummy']",59.0,,,,,,,,,
community cluster 2628,"['best', 'tasty', 'startupspritzer', 'mood', 'fruit', 'verrücktnachmarry', 'yummy']",45.0,,,,,,,,,
community cluster 2629,"['äpfel', 'sightseeing', 'österreich', 'nature', 'outdoor', 'trees', 'herbst', 'red']",45.0,,,,,,,,,
community cluster 2630,"['wien', 'family', 'relax', 'freude', 'lecker', 'holidays', 'durstlöscher', 'urbandrinks']",58.0,,,,,,,,,
community cluster 2631,"['takeaway', 'cafefotter', 'gastgarten', 'foodporn', 'instagood', 'igersgraz', 'freitag', 'igersaustria']",71.0,,,,,,,,,
community cluster 2632,"['takeaway', 'muttertag', 'local', 'graz', 'freitag', 'staytuned', 'localbusiness']",30.375,,,,,,,,,
community cluster 2633,"['zeitung', 'falstaffmagazine', 'sommer', 'kaffeepause', 'falstaff', 'weekendvibes', 'coffee', 'kaffee']",41.0,,,,,,,,,
community cluster 2634,"['summertime', 'muttertag', 'coffeelovers', 'mothersday', 'sunday', 'hundeliebe', 'ferien', 'coffee']",44.0,,,,,,,,,
community cluster 2635,"['local', 'cake', 'coffeelover', 'frühling', 'igersgraz', 'freitag', 'coffee', 'gastronomie']",63.0,,,,,,,,,
