community_clusters,hashtags_of_community_clusters,score_of_community_clusters,silhouette_score_of_community_cluster,score_multiplied
community cluster 2553,"['digital', 'relax', 'tb', 'happy', 'wanderlust', 'enjoylife', 'photography']",63,-0.148936170212766,-9.38297872340425
community cluster 841,"['gesund', 'bewusstessen', 'lecker', 'vegan', 'erdbeeren', 'food', 'zuckerfrei', 'sugarfree']",46,-0.204081632653061,-9.38775510204082
community cluster 1200,"['photooftheday', 'hello', 'bye', 'nye', 'newyearscelebration', 'instagood', 'newyearsresolution', 'goals']",36,-0.260869565217391,-9.39130434782609
community cluster 1789,"['hitze', 'wasser', 'urlaub', 'frisch', 'hochdiehändewochenende', 'rezepte', 'kochen']",27,-0.347826086956522,-9.39130434782609
community cluster 2255,"['friendshipgoals', 'family', 'foodlover', 'familytime', 'verrücktnachbarry', 'knödelmitei', 'delicious', 'berries']",44,-0.213483146067416,-9.39325842696629
community cluster 419,"['naturephotography', 'japan', 'geschenke', 'essenmachtglücklich', 'merrychristmas', 'cake', 'sonnenuntergang', 'yummy']",41,-0.229559748427673,-9.41194968553459
community cluster 502,"['hiking', 'wandern', 'nature', 'cake', 'photography', 'salami', 'yummy']",75.375,-0.125,-9.42187500000001
community cluster 668,"['split', 'hikingadventures', 'bookstagram', 'citylife', 'ship', 'outdoor', 'outdooradventures', 'summer']",25,-0.377049180327869,-9.42622950819672
community cluster 1382,"['winter', 'feedback', 'review', 'startup', 'abenteuer', 'vacation', 'austria', 'interview']",44,-0.214285714285714,-9.42857142857143
community cluster 2569,"['party', 'danke', 'graz', 'frühling', 'schokolade', 'kaffee']",32.5,-0.290322580645161,-9.43548387096774
community cluster 3772,"['travelinaustria', 'outdoorshoot', 'love', 'naturehome', 'schladmingplanai', 'schladmingtourismus', 'schladming2021', 'schladmingrohrmoospichl']",27,-0.349514563106796,-9.4368932038835
community cluster 568,"['friendshipgoals', 'genießen', 'geburtstag', 'birthday', 'grillen', 'startup', 'regionaleinkaufen', 'giveaway']",41,-0.230769230769231,-9.46153846153846
community cluster 2547,"['breakfast', 'friends', 'nachhaltig', 'love', 'selfie', 'enjoylife', 'zellamsee', 'earlybird']",61,-0.155172413793104,-9.46551724137932
community cluster 8,"['photooftheday', 'hiking', 'croatia', 'instagood', 'sun', 'beautiful', 'great', 'summer']",59,-0.160493827160494,-9.46913580246914
community cluster 1706,"['hitze', 'frisch', 'hochdiehändewochenende', 'tea', 'rezepte', 'icedtea', 'kochen', 'tealover']",29,-0.326923076923077,-9.48076923076923
community cluster 787,"['resilenz', 'kaffeeliebe', 'bunacoffee', 'coffeebreak', 'aufstehenkronerichtenweitergehen', 'steiermark', 'buna', 'frauenkaffee']",24,-0.395061728395062,-9.48148148148148
community cluster 44,"['nurheute', 'valentinesday', 'holiday', 'love', 'nature', 'photography', 'graz', 'tea']",76,-0.125,-9.5
community cluster 2551,"['summertime', 'gastgarten', 'wedding', 'falstaffmagazine', 'foodlover', 'hundeliebe', 'coffeetime', 'gastronomie']",38,-0.25,-9.5
community cluster 2200,"['friends', 'handmadewithlove', 'entrepreneur', 'partnerincrime', 'tasty', 'grimace', 'getränke', 'drinkthis']",30,-0.316666666666667,-9.5
community cluster 2719,"['cocktail', 'urlaub', 'cinema', 'love', 'sonne', 'kids', 'frühling']",51.75,-0.183673469387755,-9.50510204081633
community cluster 3856,"['freedom', 'whereismyname', 'againstracism', 'noidentity', 'vienna', 'educationforall', 'freeafghanistanpeople', 'humanrightsforall']",22,-0.432098765432099,-9.50617283950617
community cluster 2374,"['muttertag', 'freude', 'relax', 'stadtgraz', 'schlossberg', 'kino', 'drinks', 'whatveganseat']",46,-0.206666666666667,-9.50666666666667
community cluster 1073,"['wedding', 'picoftheday', 'perfectmatch', 'frenchbulldog', 'couplegoals', 'graz', 'portraitphotography', 'portrait']",23,-0.413333333333333,-9.50666666666667
community cluster 301,"['bmw', 'austin', 'mountains', 'luxury', 'newfamilymember']",20.625,-0.461224489795918,-9.51275510204082
community cluster 294,"['hikingadventures', 'mountains', 'tb', 'breathtakingviews', 'vacation', 'beautiful', 'vacationmode']",57.375,-0.165853658536585,-9.51585365853658
community cluster 2806,"['music', 'wien', 'fotography', 'donau', 'mood', 'sunglasses', 'coffee']",50.625,-0.18796992481203,-9.51597744360902
community cluster 965,"['grazaustria', 'bowl', 'konditorei', 'brotbacken', 'startup', 'healthyfood', 'vegetarisch', 'veganfood']",52,-0.183098591549296,-9.52112676056338
community cluster 821,"['blogger_at', 'inspiration', 'reiseblogger', 'igergraz', 'strongwomen', 'nachhaltigkeit', 'happyweekend', 'womeninbusiness']",34,-0.280555555555556,-9.53888888888889
community cluster 116,"['sunflower', 'smile', 'happygirl', 'springvibes', 'friday', 'happyweekend', 'igersaustria', 'weekend']",51,-0.187096774193548,-9.54193548387097
community cluster 783,"['inspiration', 'schicksalsschlag', 'ermutigung', 'femaleleadership', 'weitergehts', 'steiermark', 'femaleleaders', 'femaleleader']",33,-0.289156626506024,-9.5421686746988
community cluster 1021,"['organic', 'summerdrink', 'staytuned', 'wein', 'liebe', 'entspannung', 'plantbased']",33.75,-0.282798833819242,-9.54446064139942
community cluster 884,"['sommer', 'lecker', 'soulfood', 'backenistliebe', 'dessert', 'mahlzeit', 'torte', 'yummy']",43,-0.222222222222222,-9.55555555555555
community cluster 11,"['holiday', 'croatia', 'vacation', 'beautiful', 'great', 'summer', 'venice']",51.75,-0.184668989547038,-9.55662020905924
community cluster 1441,"['grazaustria', 'ringana', 'sunshine', 'styria', 'vegan', 'happyday', 'nice', 'weekend']",65,-0.147058823529412,-9.55882352941176
community cluster 410,"['goodmorning', 'naturephotography', 'beautifulnature', 'geschenke', 'merrychristmas', 'sunset', 'food', 'sonnenuntergang']",45,-0.2125,-9.5625
community cluster 2233,"['styria', 'productshot', 'notserious', 'grimaces', 'humour', 'berries']",31.25,-0.306122448979592,-9.56632653061225
community cluster 516,"['photooftheday', 'travel', 'cake', 'cider', 'apple', 'applecider', 'berries', 'art']",53,-0.180722891566265,-9.57831325301206
community cluster 259,"['presents', 'family', 'styria', 'haídi', 'heuvodka', 'squadgoals', 'marryicetea', 'rooftopparty']",39,-0.245901639344262,-9.59016393442623
community cluster 1095,"['wedding', 'fotografie', 'photoshoot', 'love', 'friendship', 'couple', 'interior', 'beauty']",48,-0.2,-9.6
community cluster 1196,"['photooftheday', 'hello', 'bye', 'happynewyear', 'newyearscelebration', 'instagood', 'newyearsresolution', 'goals']",38,-0.252747252747253,-9.60439560439561
community cluster 2366,"['tealove', 'natur', 'water', 'stayhydrated', 'yoga', 'mood', 'frühling', 'igersaustria']",49,-0.196078431372549,-9.6078431372549
community cluster 848,"['vegan', 'zerowastekitchen', 'foodblogger', 'reels', 'graz', 'ferien', 'erdbeeren', 'veganlife']",34,-0.282608695652174,-9.60869565217391
community cluster 2271,"['local', 'styria', 'natur', 'fresh', 'graz', 'startuplife', 'snapshot', 'picture']",47,-0.204545454545454,-9.61363636363636
community cluster 2292,"['tasty', 'graz', 'startuplife', 'verrücktnachbarry', 'snapshot', 'picture']",25,-0.384615384615385,-9.61538461538462
community cluster 1347,"['blogger_at', 'activewear', 'adventuretime', 'womensday', 'travel', 'ootd', 'strongwomen', 'outfitinspiration']",37,-0.26,-9.62
community cluster 178,"['cargirl', 'throwback', '2k19', 'happiness', 'nature', 'cold', 'winterwonderland', 'sofree']",51,-0.188679245283019,-9.62264150943396
community cluster 2387,"['flowers', 'fotografie', 'blooming', 'flowerstagram', 'photography', 'mood', 'flowersofinstagram', 'spring']",51,-0.188679245283019,-9.62264150943396
community cluster 3454,"['new', 'highheelslover', 'firstprize', 'weekendmood', 'highheel', 'highheelsaddiction', 'highlights', 'designedinaustria']",16,-0.601626016260162,-9.6260162601626
community cluster 243,"['adventuretime', 'family', 'traveling', 'relax', 'summervibes', 'vacationmode', 'christmastree', 'memories']",61,-0.157894736842105,-9.63157894736843
community cluster 1702,"['cocktail', 'urlaub', 'fresh', 'selfmade', 'icedtea', 'vegetarisch', 'berries']",40.5,-0.238095238095238,-9.64285714285714
community cluster 3594,"['summer2021', 'summerlove', 'nature', 'travelingram', 'relaxing', 'landscape', 'goodlife']",40.5,-0.238095238095238,-9.64285714285714
community cluster 2223,"['refresh', 'styria', 'organic', 'natur', 'startup', 'snapshot', 'filter', 'regional']",62,-0.155555555555556,-9.64444444444444
community cluster 1260,"['happiness', 'summervibes', 'fashionista', 'fashionphotography', 'selflove', 'vacationmode', 'austria', 'portrait']",49,-0.196969696969697,-9.65151515151516
community cluster 1602,"['nachhaltig', 'veggie', 'wanderlust', 'share', 'challengeaccepted', 'wein', 'veganfood', 'art']",49,-0.196969696969697,-9.65151515151516
community cluster 1263,"['fashionblogger', 'discoverunder5k', 'goldenhour', 'summerdress', 'igersgraz', 'portraitphotography', 'blogger_de', 'loveyourself']",40,-0.241379310344828,-9.65517241379311
community cluster 600,"['salzburg', 'hiking', 'happyweekend', 'bookstagram', 'weekendmood', 'outdoor', 'austria', 'outdooradventures']",36,-0.26865671641791,-9.67164179104478
community cluster 1186,"['photooftheday', 'hello', 'bye', 'merrychristmas', 'newyearscelebration', 'goals', 'fun', 'newyears']",41,-0.235955056179775,-9.67415730337079
community cluster 2795,"['ginger', 'wien', 'lecker', 'summervibes', 'sunday', 'life', 'moments', 'mood']",63,-0.153846153846154,-9.69230769230769
community cluster 3831,"['berlin', 'donate', 'fundraiser', 'vienna', 'insta', 'spreadtheword']",30,-0.323308270676692,-9.69924812030075
community cluster 425,"['frühstück', 'love', 'wandern', 'nature', 'clouds', 'salami', 'healthyfood', 'sonnenuntergang']",66,-0.147058823529412,-9.70588235294117
community cluster 2729,"['wien', 'styria', 'vienna', 'graz', 'ostern', 'herbst', 'austria', 'see']",52,-0.186868686868687,-9.71717171717172
community cluster 107,"['sunflower', 'happiness', 'smile', 'sunday', 'beach', 'happyweekend', 'croatia', 'igersaustria']",56,-0.173770491803279,-9.7311475409836
community cluster 2610,"['shopping', 'party', 'steirisch', 'danke', 'startup', 'visitaustria', 'oberösterreich', 'interview']",48,-0.202777777777778,-9.73333333333333
community cluster 3671,"['styria', 'naturefriends', 'haveaniceday', 'forestlife', 'forestlover', 'naturelife', 'naturegram', 'naturejewels']",22,-0.442622950819672,-9.73770491803279
community cluster 1295,"['grazaustria', 'blogger_at', 'viennablogger', 'ootd', 'strongwomen', 'outfitinspiration', 'photography', 'summeroutfit']",38,-0.256410256410256,-9.74358974358974
community cluster 2397,"['muttertag', 'sightseeing', 'happiness', 'blooming', 'natur', 'flowerstagram', 'flowersofinstagram', 'flowerpower']",42,-0.232258064516129,-9.75483870967742
community cluster 869,"['torte', 'sommer', 'lecker', 'grazfood', 'mahlzeit', 'food', 'schokolade', 'yummy']",50,-0.195121951219512,-9.7560975609756
community cluster 3534,"['kräuter', 'steirer', 'igergraz', 'essen', 'mitliebegemacht', 'barrierefrei', 'regional', 'igersaustria']",36,-0.271186440677966,-9.76271186440678
community cluster 36,"['happyplace', 'home', 'love', 'dream', 'sunset', 'beautiful', 'vacationmode', 'summer']",56,-0.174358974358974,-9.76410256410257
community cluster 1761,"['weekend', 'probieren', 'vegan', 'österreich', 'lemon', 'trinken', 'austria', 'erfrischung']",51,-0.191489361702128,-9.76595744680851
community cluster 332,"['hiking', 'foodporn', 'sommer', 'party', 'visitaustria', 'naturpur', 'austria', 'chef']",49,-0.199346405228758,-9.76797385620915
community cluster 1418,"['weekend', 'brot', 'foodlovers', 'happyday', 'backen', 'food', 'desserts', 'lifestyle']",47,-0.208333333333333,-9.79166666666666
community cluster 3551,"['minze', 'instadrink', 'kardamintspritzer', 'mitliebegemacht', 'strudel', 'gelebteinklusion', 'drinks', 'austria']",20,-0.489583333333333,-9.79166666666667
community cluster 2667,"['lecker', 'sommer', 'summerfeeling', 'regional', 'summervibes', 'graz', 'lemon', 'summer']",49,-0.2,-9.8
community cluster 251,"['presents', 'blackouttuesday', 'family', 'catlifestyle', 'styria', 'catadventures', 'cutecat', 'cat']",38,-0.258064516129032,-9.80645161290323
community cluster 1434,"['vanille', 'raspberry', 'ringana', 'styria', 'foodblogger', 'foodiesofinstagram', 'austria', 'lifestyle']",34,-0.288524590163934,-9.80983606557377
community cluster 2703,"['cocktail', 'urlaub', 'veggie', 'bier', 'feiern', 'frühling', 'organic', 'drinkstagram']",40,-0.245283018867924,-9.81132075471698
community cluster 1693,"['homemade', 'nachhaltig', 'frisch', 'hochdiehändewochenende', 'erdbeeren', 'rezepte', 'eistee']",36,-0.272727272727273,-9.81818181818182
community cluster 1233,"['muttertag', 'hello', 'bye', 'asianfoodforlife', 'newyearscelebration', 'goals']",25,-0.392857142857143,-9.82142857142857
community cluster 767,"['gründer', 'frauen', 'frauenpower', 'steiermark', 'techstartup', 'startup', 'lyngual', 'frauenempowerment']",38,-0.258620689655172,-9.82758620689655
community cluster 2788,"['qualitytime', 'wien', 'bestfriends', 'fotography', 'summervibes', 'sunday', 'donau', 'mood']",59,-0.166666666666667,-9.83333333333334
community cluster 3586,"['summerlove', 'travelphotography', 'travelgram', 'love', 'mood', 'hotel', 'summerstyle']",50.625,-0.194285714285714,-9.83571428571429
community cluster 582,"['giveaway', 'handmadewithlove', 'gewinnspiel', 'verlosung', 'local', 'regionaleinkaufen', 'austria', 'gewinnen']",30,-0.328282828282828,-9.84848484848485
community cluster 3231,"['lockdown', 'wien', 'architekturzentrumwien', 'lockdown2020', 'firstprize', 'redhighheels', 'shooting']",36,-0.273607748184019,-9.8498789346247
community cluster 852,"['brot', 'veganlifestyle', 'graz', 'backen', 'foodblog', 'einbisschenspaßmusssein', 'brotbacken']",18,-0.548051948051948,-9.86493506493506
community cluster 1285,"['adventuretime', 'happiness', 'wanderlust', 'exploremore', 'photography', 'yoga', 'goldenhour', 'vacationmode']",55,-0.179487179487179,-9.87179487179487
community cluster 298,"['adventuretime', 'family', 'traveling', 'tb', 'relax', 'breathtakingviews', 'roadtrip', 'beach']",45,-0.219512195121951,-9.87804878048781
community cluster 1633,"['vegan', 'nachhaltig', 'milch', 'holunder', 'veggie', 'share', 'vegetarisch']",46.125,-0.214285714285714,-9.88392857142857
community cluster 1189,"['dec', 'christmas', 'holiday', 'hello', 'bye', 'jan', 'newyearsresolution', 'goals']",31,-0.319148936170213,-9.8936170212766
community cluster 2261,"['tasty', 'familytime', 'concentration', 'marry', 'freshdrink', 'picture', 'berries', 'creative']",29,-0.341176470588235,-9.89411764705882
community cluster 1547,"['video', 'raspberry', 'art', 'happysunday', 'beauty', 'memes', 'lifestyle']",36,-0.275,-9.9
community cluster 2913,"['yellowheels', 'firstprize', 'artsyfartsy', 'kunstinstallation', 'redhighheels', 'redheels', 'art']",24.75,-0.4,-9.9
community cluster 2620,"['best', 'wien', 'sun', 'startup', 'schlossberg', 'healthyfood', 'summer', 'break']",58,-0.170731707317073,-9.90243902439024
community cluster 936,"['brot', 'foodblogger', 'zuckerfrei', 'brotbacken', 'droetker', 'sugarfree']",22.5,-0.44015444015444,-9.9034749034749
community cluster 2003,"['lockdown', 'valentinstag', 'vorfreude', 'team', 'superfood', 'photography', 'happysunday', 'spring']",48,-0.206349206349206,-9.9047619047619
community cluster 2337,"['loveit', 'rollsroyce', 'streetstyle', 'cover', 'igersvienna', 'citylife', 'weekendvibes', 'urban']",35,-0.283018867924528,-9.90566037735849
community cluster 2692,"['organic', 'madeinaustria', 'veggie', 'bier', 'durstlöscher', 'regional', 'urbandrinks', 'drinkstagram']",37,-0.267857142857143,-9.91071428571429
community cluster 1179,"['photooftheday', 'buffet', 'hello', 'bye', 'newyearscelebration', 'newyearsresolution', 'goals', 'fun']",38,-0.260869565217391,-9.91304347826087
community cluster 2236,"['family', 'local', 'cheers', 'icedtea', 'drink', 'newdrink']",42.5,-0.233333333333333,-9.91666666666667
community cluster 1681,"['cocktail', 'fruity', 'erfrischend', 'sommer', 'lecker', 'fresh', 'fruchtig', 'bio']",43,-0.230769230769231,-9.92307692307693
community cluster 106,"['oldtown', 'verrucktnachmarry', 'happysunday', 'weekendvibes', 'mindset', 'summer', 'sunnydays', 'weekend']",35,-0.283582089552239,-9.92537313432836
community cluster 2246,"['styria', 'haha', 'perfectmatch', 'shadow', 'instarunners', 'drink', 'marry', 'regional']",36,-0.276595744680851,-9.95744680851064
community cluster 518,"['travel', 'icetea', 'tee', 'beautiful', 'cidergram', 'yummy', 'art']",69.75,-0.142857142857143,-9.96428571428571
community cluster 1318,"['adventuretime', 'travel', 'happiness', 'summervibes', 'wanderlust', 'exploremore', 'travelling', 'vacationmode']",68,-0.146666666666667,-9.97333333333333
community cluster 1993,"['soon', 'kunsthaus', 'fresh', 'localbrand', 'win', 'drink', 'localbusiness', 'spring']",39,-0.255813953488372,-9.97674418604651
community cluster 2088,"['goodmorning', 'holiday', 'throwback', 'beautifulday', 'streetstyle', '2021', 'throwbackthursday', 'tea']",47,-0.2125,-9.9875
community cluster 2511,"['throwback', 'colorfullife', 'happiness', 'summervibes', 'sun', 'tbt', 'vacation', 'fashion']",80,-0.125,-10
community cluster 131,"['sunshine', 'flowers', 'home', 'igersaustria', 'homeoffice', 'mindset', 'autumn']",56.25,-0.177777777777778,-10
community cluster 803,"['summer2021', 'reiseblogger', 'podcast', 'summervibes', 'igerslinz', 'mut', 'diesteirerin', 'winelover']",42,-0.238095238095238,-10
community cluster 2456,"['wein', 'holiday', 'sonntag', 'relax', 'selfie', 'crueltyfree', 'summer']",36,-0.277777777777778,-10
community cluster 960,"['chili', 'kürbis', 'polenta', 'erdbeeren', 'curry', 'igersaustria']",35,-0.285714285714286,-10
community cluster 1203,"['music', 'hello', 'bye', 'bhfyp', 'party', 'fireworks', 'newyearscelebration', 'goals']",34,-0.294117647058823,-10
community cluster 3568,"['freedom', 'cessna152', 'summerfeeling', 'madeinaustria', 'loveaustria', 'natureshot', 'insta', 'igersaustria']",33,-0.303030303030303,-10
community cluster 2543,"['wedding', 'proud', 'love', 'igersgraz', 'eistee', 'durstlöscher', 'drinks', 'urban']",73,-0.137254901960784,-10.0196078431373
community cluster 1844,"['gewinnspiel', 'accessories', 'flowers', 'shopping', 'art', 'summeroutfit', 'spring']",58.5,-0.171428571428571,-10.0285714285714
community cluster 1014,"['ingwer', 'cassis', 'vegan', 'kombucha', 'summervibes', 'abnehmen', 'energy', 'summer']",48,-0.209302325581395,-10.046511627907
community cluster 1486,"['kuchen', 'natur', 'foodiesofinstagram', 'lunch', 'insta', 'cooking', 'foodie']",36,-0.279220779220779,-10.0519480519481
community cluster 2908,"['lockdown', 'österreich', 'happyhalloween', 'halloween2020', 'shoesonfire', 'memes', 'newshoes', 'stayhealthy']",38,-0.264705882352941,-10.0588235294118
community cluster 501,"['photooftheday', 'wood', 'nature', 'snacks', 'instagood', 'landscape', 'snack', 'art']",59,-0.170731707317073,-10.0731707317073
community cluster 1401,"['weekend', 'ringana', 'love', 'ootd', 'happyday', 'nice', 'sofree', 'lifestyle']",58,-0.173913043478261,-10.0869565217391
community cluster 1348,"['adventuretime', 'travel', 'lookoftheday', 'exploremore', 'photography', 'outdooradventures']",55,-0.183673469387755,-10.1020408163265
community cluster 428,"['naturephotography', 'friends', 'beautifulnature', 'hiking', 'travel', 'nature', 'photography', 'clouds']",77,-0.131205673758865,-10.1028368794326
community cluster 1694,"['cocktail', 'erfrischend', 'sommer', 'fresh', 'icedtea', 'beeren', 'eistee', 'freitag']",39,-0.259259259259259,-10.1111111111111
community cluster 2047,"['sunshine', 'sundowner', 'drinklocal', 'vienna', 'icetea', 'summeroutfit', 'beauty', 'afterwork']",47,-0.215151515151515,-10.1121212121212
community cluster 1294,"['picoftheday', 'austrianblogger', 'fashioninspo', 'fashionphotography', 'vacationmode', 'styleinspo', 'summeroutfit', 'nakdfashion']",34,-0.297619047619048,-10.1190476190476
community cluster 2744,"['raspberry', '2min2mio', 'stayhealthy', 'drinks', 'igersgraz', 'unique', 'igersaustria']",70.875,-0.142857142857143,-10.125
community cluster 14,"['view', 'holiday', 'spielberg', 'cat', 'bay', 'beautiful', 'summer']",38.25,-0.264705882352941,-10.125
community cluster 3874,"['newyear', 'morefun', 'happiness', 'everyblossomisablessing', 'health', 'hello2021', 'goodbye2020', 'berlin']",24,-0.421875,-10.125
community cluster 55,"['animals', 'sunshine', 'love', 'nature', 'life', 'sunset', 'vacationmode', 'dream']",68,-0.149305555555556,-10.1527777777778
community cluster 938,"['chili', 'polenta', 'erdbeeren', 'hunger', 'curry', 'esseningraz', 'tarte', 'igersaustria']",33,-0.307692307692308,-10.1538461538462
community cluster 3029,"['yellowheels', 'summervibes', 'support', 'shoesonfire', 'redhighheels', 'fashion', 'redheels', 'yellowshoes']",43,-0.236363636363636,-10.1636363636364
community cluster 2378,"['valentinesday', 'lockdown', 'stayhydrated', 'photography', 'ostern', 'drinks', 'blumen', 'art']",61,-0.166666666666667,-10.1666666666667
community cluster 2222,"['styria', 'tongue', 'littlebitcrazy', 'showtongue', 'filter', 'berries']",31.25,-0.325396825396825,-10.1686507936508
community cluster 1709,"['hitze', 'wasser', 'sommer', 'frisch', 'hochdiehändewochenende', 'kochen', 'tealover']",29.25,-0.347826086956522,-10.1739130434783
community cluster 2940,"['family', 'firstprize', 'redhighheels', 'shoesstagram', 'shoes', 'redheels']",22.5,-0.452380952380952,-10.1785714285714
community cluster 2803,"['music', 'summertime', 'wien', 'family', 'sonntag', 'fotography', 'style', 'mood']",56,-0.181818181818182,-10.1818181818182
community cluster 1201,"['bhfyp', 'merrychristmas', 'fireworks', 'nye', 'party', 'essenszitat', 'fun', 'teppanyaki']",40,-0.254545454545455,-10.1818181818182
community cluster 3410,"['yellowheels', 'firstprize', 'spreadpositivity', 'vote', 'together', 'share', 'win', 'spreadlove']",24,-0.424657534246575,-10.1917808219178
community cluster 433,"['friends', 'catsofinstagram', 'mixology', 'party', 'food', 'enjoy', 'drink', 'cat']",52,-0.196078431372549,-10.1960784313726
community cluster 655,"['flowers', 'happy', 'sunny', 'pasta', 'mondaymood', 'sunnyday', 'vacationvibes', 'croatia']",44,-0.232142857142857,-10.2142857142857
community cluster 1206,"['photooftheday', 'hello', 'bye', 'newyearsparty', 'newyearscelebration', 'newyearsresolution', 'goals', 'fun']",38,-0.268817204301075,-10.2150537634409
community cluster 871,"['breakfast', 'grazaustria', 'gewinnspiel', 'frühstück', 'startup', 'schokolade', 'esseningraz', 'lavendel']",52,-0.19672131147541,-10.2295081967213
community cluster 956,"['breakfast', 'vegan', 'erdbeeren', 'curry', 'healthyfood', 'veganlife', 'pictureoftheday', 'veganfood']",52,-0.19672131147541,-10.2295081967213
community cluster 2480,"['salzburg', 'friendshipgoals', 'sightseeing', 'styria', '2021', 'wandern', 'graz', 'visitaustria']",52,-0.19672131147541,-10.2295081967213
community cluster 2167,"['friendshipgoals', 'funny', 'fresh', 'startup', 'fun', 'regional', 'berries', 'urban']",58,-0.176470588235294,-10.2352941176471
community cluster 2294,"['muttertag', 'cinema', 'summervibes', 'fresh', 'familie', 'natur', 'marry', 'localbusiness']",53,-0.193220338983051,-10.2406779661017
community cluster 1092,"['friendshipgoals', 'wedding', 'familygoals', 'love', 'sunday', 'vacation', 'fashion', 'shooting']",70,-0.146341463414634,-10.2439024390244
community cluster 1150,"['christmas', 'lecker', 'foodporn', 'österreich', 'tasty', 'party', 'holidays', 'yummy']",73,-0.140350877192982,-10.2456140350877
community cluster 1502,"['natur', 'nature', 'tasty', 'photography', 'lunch', 'healthy', 'steiermark', 'cooking']",82,-0.125,-10.25
community cluster 1708,"['vegan', 'genuss', 'teeliebe', 'wochenende', 'tee', 'summer', 'tealover', 'weekend']",48,-0.214285714285714,-10.2857142857143
community cluster 1712,"['mate', 'vegan', 'fresh', 'blacktea', 'lemon', 'zitrone', 'austria', 'erfrischung']",36,-0.285714285714286,-10.2857142857143
community cluster 1634,"['wine', 'gin', 'vegan', 'vino', 'podcast', 'wanderlust', 'vitaminsea', 'share']",42,-0.245098039215686,-10.2941176470588
community cluster 2415,"['muttertag', 'relax', 'genuss', 'kunsthauscafegraz', 'natur', 'wochenende', 'sonne', 'plantbased']",47,-0.219672131147541,-10.3245901639344
community cluster 997,"['summervibes', 'staytuned', 'sustainable', 'drink', 'wein', 'newdrink', 'summer', 'nachhaltigkeit']",45,-0.229508196721311,-10.327868852459
community cluster 432,"['naturephotography', 'travel', 'forest', 'wood', 'party', 'beautiful', 'landscape', 'art']",59,-0.175084175084175,-10.3299663299663
community cluster 1199,"['dec', 'celebrate', 'newyearsparty', 'nye', 'party', 'jan', 'holidays', 'newyearsday']",31,-0.333333333333333,-10.3333333333333
community cluster 2479,"['view', 'qualitytime', 'autvibes', 'wynwoodartdistrict', 'wynwoodwalls', 'goodbyeusa', 'seeyasoon', 'miami']",19,-0.544270833333333,-10.3411458333333
community cluster 2723,"['muttertag', 'family', 'shopping', 'cinema', 'love', 'familie', 'selfmade']",56.25,-0.184,-10.35
community cluster 1939,"['Winter', 'extraction', 'BagCoffeeMaker', 'klagenfurtamwörthersee', 'lendhafen', 'klagenfurt', 'cold', 'winterwonderland']",21,-0.492957746478873,-10.3521126760563
community cluster 1810,"['music', 'summertime', 'sommer', 'sommeringraz', 'burger', 'band']",42.5,-0.243697478991597,-10.3571428571429
community cluster 3774,"['chillmood', 'flyinginnature', 'love', 'tavel', 'austriamountain', 'freizeitingraz', 'natureinthecity', 'outdooradventures']",30,-0.345238095238095,-10.3571428571429
community cluster 2609,"['gewinnspiel', 'quoteoftheday', 'marryicetea', 'supportyourlocal', 'lavabräu', 'feiern', 'giveaway', 'cityofgraz']",42,-0.246753246753247,-10.3636363636364
community cluster 895,"['frühstück', 'zerowastekitchen', 'backenmitliebe', 'supportsmallbusiness', 'grazfood', 'startup', 'zerowaste', 'kochenmitliebe']",39,-0.265822784810127,-10.3670886075949
community cluster 197,"['2k19', 'hikingadventures', 'summerbody', 'graz', 'vacation', 'cold', 'croatia', 'sofree']",35,-0.296296296296296,-10.3703703703704
community cluster 2846,"['friends', 'moon', 'linz', 'happyhalloween', 'artofinstagram', 'relaxing', 'artoftheday', 'memes']",34,-0.305084745762712,-10.3728813559322
community cluster 188,"['cargirl', 'throwback', 'goodvibes', 'nature', 'winterwonderland', 'cold', 'croatia', 'sofree']",55,-0.188679245283019,-10.377358490566
community cluster 1453,"['foodporn', 'instadaily', 'restaurant', 'healthy', 'healthyfood', 'cooking', 'foodie', 'delicious']",50,-0.207547169811321,-10.377358490566
community cluster 2243,"['friendshipgoals', 'family', 'tasty', 'cheers', 'youngandurban', 'perfectmoment', 'drink']",45,-0.230769230769231,-10.3846153846154
community cluster 239,"['carsofinstagram', 'family', 'styria', 'sunnyday', 'vw', 'beach', 'vacationmode', 'vwpolo']",46,-0.225806451612903,-10.3870967741935
community cluster 854,"['garten', 'chili', 'foodblogger', 'nachspeise', 'erdbeeren', 'hunger', 'igersgraz', 'curry']",43,-0.241666666666667,-10.3916666666667
community cluster 992,"['ingwer', 'nachhaltig', 'guarana', 'sustainable', 'matcha', 'liebe', 'entspannung', 'koffein']",29,-0.358490566037736,-10.3962264150943
community cluster 1954,"['ginger', 'wermouth', 'wermut', 'editions', 'fresh', 'reopening', 'sun', 'spring']",39,-0.266666666666667,-10.4
community cluster 771,"['rolemodel', 'wednesday', 'femalefuturefestival', 'frauensindkeineobjekte', 'steiermark', 'frausein', 'sommermotto', 'podcastausösterreich']",26,-0.4,-10.4
community cluster 1831,"['girl', 'flowerbouquet', 'italia', 'graz', 'tulips', 'austria', 'igersaustria', 'fromwhereistand']",26,-0.4,-10.4
community cluster 828,"['blogger_at', 'inspiration', 'gewinnspiel', 'gründerin', 'happyweekend', 'interview']",42.5,-0.244897959183673,-10.4081632653061
